Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
139,Friday Sep 9,boxscore,MIL,,CIN,L,2,8,,73-66,2,8.0,Lodolo,Alexander,,2:42,N,33660,1.03,-,
140,Saturday Sep 10,boxscore,MIL,,CIN,W,5,1,,74-66,2,8.0,Houser,Anderson,,2:34,N,34615,.86,+,
141,Sunday Sep 11,boxscore,MIL,,CIN,W,7,6,,75-66,2,8.0,Woodruff,Dunn,Williams,3:05,D,42482,.99,++,
142,Tuesday Sep 13,boxscore,MIL,@,STL,W,8,4,,76-66,2,7.0,Perdomo,Montgomery,,3:07,N,42047,1.14,+++,
143,Wednesday Sep 14,boxscore,MIL,@,STL,L,1,4,,76-67,2,8.0,Wainwright,Burnes,Helsley,3:10,N,46459,1.21,-,
144,Friday Sep 16,boxscore,MIL,,NYY,W-wo,7,6,,77-67,2,7.5,Rogers,Holmes,,4:09,N,36011,1.16,+,
145,Saturday Sep 17,boxscore,MIL,,NYY,W,4,1,,78-67,2,8.0,Woodruff,Taillon,Williams,2:56,N,41210,1.23,++,
146,Sunday Sep 18,boxscore,MIL,,NYY,L,8,12,,78-68,2,8.0,Cole,Milner,,3:46,D,35964,1.29,-,
147,Monday Sep 19,boxscore,MIL,,NYM,L,2,7,,78-69,2,8.5,Scherzer,Burnes,,2:49,N,25671,1.19,--,
148,Tuesday Sep 20,boxscore,MIL,,NYM,L,5,7,,78-70,2,8.5,Rodríguez,Rogers,Díaz,3:19,N,26319,1.04,---,
149,Wednesday Sep 21,boxscore,MIL,,NYM,W,6,0,,79-70,2,7.5,Gott,Walker,,2:47,D,25204,.93,+,
150,Thursday Sep 22,boxscore,MIL,@,CIN,W,5,1,,80-70,2,7.5,Woodruff,Greene,,2:50,N,9889,.96,++,
151,Friday Sep 23,boxscore,MIL,@,CIN,W,5,3,,81-70,2,7.5,Perdomo,Cessa,Williams,3:22,N,16658,1.09,+++,
152,Saturday Sep 24,boxscore,MIL,@,CIN,W,10,2,,82-70,2,6.5,Burnes,Ashcraft,,2:57,N,20472,1.30,++++,
153,Sunday Sep 25,boxscore,MIL,@,CIN,L,1,2,,82-71,2,6.5,Farmer,Bush,Díaz,2:46,D,19952,1.56,-,
154,Tuesday Sep 27,boxscore,MIL,,STL,L,2,6,,82-72,2,7.5,Mikolas,Houser,,3:13,N,29341,1.47,--,
155,Wednesday Sep 28,boxscore,MIL,,STL,W,5,1,,83-72,2,6.5,Woodruff,Quintana,,3:31,N,28835,1.35,+,
156,Thursday Sep 29,boxscore,MIL,,MIA,L,2,4,,83-73,2,7.0,Nance,Peralta,Floro,3:08,N,23122,1.83,-,
157,Friday Sep 30,boxscore,MIL,,MIA,W,1,0,,84-73,2,7.0,Burnes,Alcantara,Williams,2:28,N,31945,1.90,+,
158,Saturday Oct 1,boxscore,MIL,,MIA,L,3,4,,84-74,2,8.0,Nance,Williams,Bleier,3:28,N,30686,2.11,-,
159,Sunday Oct 2,boxscore,MIL,,MIA,L,3,4,12,84-75,2,8.0,Brazoban,Gott,Scott,4:12,D,31053,1.73,--,
160,Monday Oct 3,boxscore,MIL,,ARI,W-wo,6,5,10,85-75,2,7.0,Boxberger,Moronta,,3:19,N,18612,.40,+,
161,Tuesday Oct 4,boxscore,MIL,,ARI,W,3,0,,86-75,2,7.0,Lauer,Gallen,Strzelecki,3:02,N,19611,.00,++,
162,Wednesday Oct 5,boxscore,MIL,,ARI,L,2,4,,86-76,2,7.0,Poppen,Gott,Ginkel,2:43,D,18765,.00,-,
