away_pitcher_note,away_probable_pitcher,doubleheader,home_pitcher_note,inning_state,venue_name,game_datetime,away_id,game_date,venue_id,current_inning,status,away_name,home_probable_pitcher,summary,winning_pitcher,game_type,away_score,home_name,game_id,winning_team,home_score,game_num,save_pitcher,home_id,losing_team,series_status,losing_pitcher,national_broadcasts
,Logan Gilbert,N,,Bottom,Globe Life Field,2022-07-16T20:05:00Z,136,2022-07-16,5325,10,Final,Seattle Mariners,Spencer Howard,2022-07-16 - Seattle Mariners (3) @ Texas Rangers (2) (Final),Diego Castillo,R,3,Texas Rangers,661809,Seattle Mariners,2,1,Matt Festa,140,Texas Rangers,SEA wins 3-0,Brett Martin,[]
,Chris Flexen,N,,Bottom,Globe Life Field,2022-07-17T18:35:00Z,136,2022-07-17,5325,9,Final,Seattle Mariners,Glenn Otto,2022-07-17 - Seattle Mariners (6) @ Texas Rangers (2) (Final),Ryan Borucki,R,6,Texas Rangers,661821,Seattle Mariners,2,1,,140,Texas Rangers,SEA wins 4-0,Glenn Otto,[]
,Jon Gray,N,,Bottom,loanDepot park,2022-07-21T17:10:00Z,140,2022-07-21,4169,9,Final,Texas Rangers,Pablo Lopez,2022-07-21 - Texas Rangers (8) @ Miami Marlins (0) (Final),Jon Gray,R,8,Miami Marlins,661421,Texas Rangers,0,1,,146,Miami Marlins,TEX wins Season,Pablo Lopez,['MLB.tv Free Game']
,Spencer Howard,N,,Top,Oakland Coliseum,2022-07-23T01:40:00Z,140,2022-07-22,10,9,Final,Texas Rangers,Cole Irvin,2022-07-22 - Texas Rangers (4) @ Oakland Athletics (5) (Final),Cole Irvin,R,4,Oakland Athletics,662344,Oakland Athletics,5,1,A.J. Puk,133,Texas Rangers,OAK leads 1-0,Spencer Howard,['MLB.tv Free Game']
,Matt Bush,N,,Top,Oakland Coliseum,2022-07-24T01:07:00Z,140,2022-07-23,10,9,Final,Texas Rangers,James Kaprielian,2022-07-23 - Texas Rangers (1) @ Oakland Athletics (3) (Final),Domingo Acevedo,R,1,Oakland Athletics,662348,Oakland Athletics,3,1,Zach Jackson,133,Texas Rangers,OAK wins 2-0,Dennis Santana,"['FS1', 'MLB.tv Free Game']"
,Martin Perez,N,,Bottom,Oakland Coliseum,2022-07-24T20:07:00Z,140,2022-07-24,10,9,Final,Texas Rangers,Paul Blackburn,2022-07-24 - Texas Rangers (11) @ Oakland Athletics (8) (Final),Martin Perez,R,11,Oakland Athletics,662343,Texas Rangers,8,1,,133,Oakland Athletics,OAK wins 2-1,Paul Blackburn,['MLB.tv Free Game']
,Glenn Otto,N,,Top,T-Mobile Park,2022-07-26T02:10:00Z,140,2022-07-25,680,9,Final,Texas Rangers,Chris Flexen,2022-07-25 - Texas Rangers (3) @ Seattle Mariners (4) (Final),Chris Flexen,R,3,Seattle Mariners,662166,Seattle Mariners,4,1,Erik Swanson,136,Texas Rangers,SEA leads 1-0,Glenn Otto,['MLBN (out-of-market only)']
,Dane Dunning,N,,Bottom,T-Mobile Park,2022-07-27T02:10:00Z,140,2022-07-26,680,9,Final,Texas Rangers,George Kirby,2022-07-26 - Texas Rangers (4) @ Seattle Mariners (5) (Final),Erik Swanson,R,4,Seattle Mariners,662184,Seattle Mariners,5,1,,136,Texas Rangers,SEA wins 2-0,Brett Martin,"['MLBN (out-of-market only)', 'MLB.tv Free Game']"
,Jon Gray,N,,Top,T-Mobile Park,2022-07-27T19:40:00Z,140,2022-07-27,680,9,Final,Texas Rangers,Marco Gonzales,2022-07-27 - Texas Rangers (2) @ Seattle Mariners (4) (Final),Marco Gonzales,R,2,Seattle Mariners,662165,Seattle Mariners,4,1,Matt Festa,136,Texas Rangers,SEA wins 3-0,Jon Gray,[]
,Spencer Howard,N,,Bottom,Angel Stadium,2022-07-29T01:38:00Z,140,2022-07-28,1,9,Final,Texas Rangers,Shohei Ohtani,2022-07-28 - Texas Rangers (2) @ Los Angeles Angels (0) (Final),Spencer Howard,R,2,Los Angeles Angels,663380,Texas Rangers,0,1,Matt Moore,108,Los Angeles Angels,TEX leads 1-0,Shohei Ohtani,[]
,Martin Perez,N,,Bottom,Angel Stadium,2022-07-30T01:38:00Z,140,2022-07-29,1,9,Final,Texas Rangers,Patrick Sandoval,2022-07-29 - Texas Rangers (7) @ Los Angeles Angels (2) (Final),Martin Perez,R,7,Los Angeles Angels,663379,Texas Rangers,2,1,,108,Los Angeles Angels,TEX leads 2-0,Patrick Sandoval,['MLBN (out-of-market only)']
,Glenn Otto,N,,Top,Angel Stadium,2022-07-31T01:07:00Z,140,2022-07-30,1,9,Final,Texas Rangers,Chase Silseth,2022-07-30 - Texas Rangers (7) @ Los Angeles Angels (9) (Final),Touki Toussaint,R,7,Los Angeles Angels,663378,Los Angeles Angels,9,1,Raisel Iglesias,108,Texas Rangers,TEX leads 2-1,Brett Martin,['FS1']
,Dane Dunning,N,,Bottom,Angel Stadium,2022-07-31T20:07:00Z,140,2022-07-31,1,9,Final,Texas Rangers,Reid Detmers,2022-07-31 - Texas Rangers (5) @ Los Angeles Angels (2) (Final),Brock Burke,R,5,Los Angeles Angels,663377,Texas Rangers,2,1,Jonathan Hernandez,108,Los Angeles Angels,TEX wins 3-1,Jose Quijada,[]
,Spenser Watkins,N,,Bottom,Globe Life Field,2022-08-02T00:05:00Z,110,2022-08-01,5325,9,Final,Baltimore Orioles,Jon Gray,2022-08-01 - Baltimore Orioles (7) @ Texas Rangers (2) (Final),Spenser Watkins,R,7,Texas Rangers,661820,Baltimore Orioles,2,1,Keegan Akin,140,Texas Rangers,BAL leads 1-0,Jon Gray,[]
,Jordan Lyles,N,,Bottom,Globe Life Field,2022-08-03T00:05:00Z,110,2022-08-02,5325,9,Final,Baltimore Orioles,Spencer Howard,2022-08-02 - Baltimore Orioles (8) @ Texas Rangers (2) (Final),Jordan Lyles,R,8,Texas Rangers,661819,Baltimore Orioles,2,1,,140,Texas Rangers,BAL wins 2-0,Spencer Howard,[]
,Kyle Bradish,N,,Bottom,Globe Life Field,2022-08-03T18:05:00Z,110,2022-08-03,5325,9,Final,Baltimore Orioles,Martin Perez,2022-08-03 - Baltimore Orioles (6) @ Texas Rangers (3) (Final),Cionel Perez,R,6,Texas Rangers,661818,Baltimore Orioles,3,1,,140,Texas Rangers,BAL wins 3-0,Jose Leclerc,[]
,Johnny Cueto,N,,Top,Globe Life Field,2022-08-05T00:05:00Z,145,2022-08-04,5325,9,Final,Chicago White Sox,Cole Ragans,2022-08-04 - Chicago White Sox (2) @ Texas Rangers (3) (Final),Brock Burke,R,2,Texas Rangers,661817,Texas Rangers,3,1,Jonathan Hernandez,140,Chicago White Sox,TEX leads 1-0,Johnny Cueto,[]
,Dylan Cease,N,,Bottom,Globe Life Field,2022-08-06T00:05:00Z,145,2022-08-05,5325,9,Final,Chicago White Sox,Glenn Otto,2022-08-05 - Chicago White Sox (2) @ Texas Rangers (1) (Final),Dylan Cease,R,2,Texas Rangers,661816,Chicago White Sox,1,1,Liam Hendriks,140,Texas Rangers,Series tied 1-1,Glenn Otto,[]
,Michael Kopech,N,,Top,Globe Life Field,2022-08-06T23:05:00Z,145,2022-08-06,5325,9,Final,Chicago White Sox,Dane Dunning,2022-08-06 - Chicago White Sox (0) @ Texas Rangers (8) (Final),Dane Dunning,R,0,Texas Rangers,661815,Texas Rangers,8,1,,140,Chicago White Sox,TEX leads 2-1,Michael Kopech,[]
,Lucas Giolito,N,,Bottom,Globe Life Field,2022-08-07T18:35:00Z,145,2022-08-07,5325,9,Final,Chicago White Sox,Spencer Howard,2022-08-07 - Chicago White Sox (8) @ Texas Rangers (2) (Final),Lucas Giolito,R,8,Texas Rangers,661835,Chicago White Sox,2,1,,140,Texas Rangers,Series tied 2-2,Spencer Howard,[]
,Martin Perez,N,,Top,Minute Maid Park,2022-08-10T00:10:00Z,140,2022-08-09,2392,9,Final,Texas Rangers,Jose Urquidy,2022-08-09 - Texas Rangers (5) @ Houston Astros (7) (Final),Jose Urquidy,R,5,Houston Astros,662724,Houston Astros,7,1,Ryan Pressly,117,Texas Rangers,HOU leads 1-0,Martin Perez,[]
,Glenn Otto,N,,Bottom,Minute Maid Park,2022-08-11T00:10:00Z,140,2022-08-10,2392,10,Final,Texas Rangers,Justin Verlander,2022-08-10 - Texas Rangers (8) @ Houston Astros (4) (Final),Taylor Hearn,R,8,Houston Astros,662723,Texas Rangers,4,1,,117,Houston Astros,Series tied 1-1,Phil Maton,[]
,Cole Ragans,N,,Top,Minute Maid Park,2022-08-11T18:10:00Z,140,2022-08-11,2392,9,Final,Texas Rangers,Framber Valdez,2022-08-11 - Texas Rangers (3) @ Houston Astros (7) (Final),Framber Valdez,R,3,Houston Astros,662722,Houston Astros,7,1,,117,Texas Rangers,HOU wins 2-1,Cole Ragans,['YouTube']
,George Kirby,N,,Bottom,Globe Life Field,2022-08-13T00:05:00Z,136,2022-08-12,5325,9,Final,Seattle Mariners,Josh Sborz,2022-08-12 - Seattle Mariners (6) @ Texas Rangers (2) (Final),George Kirby,R,6,Texas Rangers,661791,Seattle Mariners,2,1,,140,Texas Rangers,SEA leads 1-0,Taylor Hearn,[]
,Marco Gonzales,N,,Top,Globe Life Field,2022-08-13T23:15:00Z,136,2022-08-13,5325,9,Final,Seattle Mariners,Dane Dunning,2022-08-13 - Seattle Mariners (4) @ Texas Rangers (7) (Final),Brett Martin,R,4,Texas Rangers,661790,Texas Rangers,7,1,Jonathan Hernandez,140,Seattle Mariners,Series tied 1-1,Marco Gonzales,['FOX']
,Logan Gilbert,N,,Top,Globe Life Field,2022-08-14T18:35:00Z,136,2022-08-14,5325,9,Final,Seattle Mariners,Martin Perez,2022-08-14 - Seattle Mariners (3) @ Texas Rangers (5) (Final),Josh Sborz,R,3,Texas Rangers,661789,Texas Rangers,5,1,Jose Leclerc,140,Seattle Mariners,TEX wins 2-1,Matt Brash,[]
,James Kaprielian,N,,Top,Globe Life Field,2022-08-16T00:05:00Z,133,2022-08-15,5325,9,Final,Oakland Athletics,Glenn Otto,2022-08-15 - Oakland Athletics (1) @ Texas Rangers (2) (Final),Glenn Otto,R,1,Texas Rangers,661834,Texas Rangers,2,1,Jonathan Hernandez,140,Oakland Athletics,TEX leads 1-0,James Kaprielian,[]
,JP Sears,N,,Bottom,Globe Life Field,2022-08-17T00:05:00Z,133,2022-08-16,5325,9,Final,Oakland Athletics,Kohei Arihara,2022-08-16 - Oakland Athletics (5) @ Texas Rangers (1) (Final),JP Sears,R,5,Texas Rangers,661833,Oakland Athletics,1,1,,140,Texas Rangers,Series tied 1-1,Kohei Arihara,[]
,Adam Oller,N,,Bottom,Globe Life Field,2022-08-18T00:05:00Z,133,2022-08-17,5325,9,Final,Oakland Athletics,Cole Ragans,2022-08-17 - Oakland Athletics (7) @ Texas Rangers (2) (Final),Adam Oller,R,7,Texas Rangers,661788,Oakland Athletics,2,1,,140,Texas Rangers,OAK leads 2-1,Cole Ragans,[]
,Zach Logue,N,,Top,Globe Life Field,2022-08-18T18:05:00Z,133,2022-08-18,5325,9,Final,Oakland Athletics,Dane Dunning,2022-08-18 - Oakland Athletics (3) @ Texas Rangers (10) (Final),Dane Dunning,R,3,Texas Rangers,661787,Texas Rangers,10,1,,140,Oakland Athletics,Series tied 2-2,Zach Logue,[]
,Martin Perez,N,,Top,Target Field,2022-08-20T00:10:00Z,140,2022-08-19,3312,9,Final,Texas Rangers,Dylan Bundy,2022-08-19 - Texas Rangers (1) @ Minnesota Twins (2) (Final),Dylan Bundy,R,1,Minnesota Twins,661655,Minnesota Twins,2,1,Jorge Lopez,142,Texas Rangers,MIN leads 1-0,Martin Perez,['Apple TV+']
,Glenn Otto,N,,Bottom,Target Field,2022-08-20T23:10:00Z,140,2022-08-20,3312,10,Final,Texas Rangers,Chris Archer,2022-08-20 - Texas Rangers (4) @ Minnesota Twins (3) (Final),Jonathan Hernandez,R,4,Minnesota Twins,661670,Texas Rangers,3,1,,142,Minnesota Twins,Series tied 1-1,Caleb Thielbar,[]
,Kohei Arihara,N,,Bottom,Target Field,2022-08-21T18:10:00Z,140,2022-08-21,3312,9,Final,Texas Rangers,Joe Ryan,2022-08-21 - Texas Rangers (7) @ Minnesota Twins (0) (Final),Kohei Arihara,R,7,Minnesota Twins,661652,Texas Rangers,0,1,Taylor Hearn,142,Minnesota Twins,TEX leads 2-1,Joe Ryan,[]
,Cole Ragans,N,,Bottom,Target Field,2022-08-22T23:10:00Z,140,2022-08-22,3312,9,Final,Texas Rangers,Sonny Gray,2022-08-22 - Texas Rangers (2) @ Minnesota Twins (1) (Final),A.J. Alexy,R,2,Minnesota Twins,661658,Texas Rangers,1,1,Matt Moore,142,Minnesota Twins,TEX wins 3-1,Sonny Gray,[]
,Dane Dunning,N,,Top,Coors Field,2022-08-24T00:40:00Z,140,2022-08-23,19,9,Final,Texas Rangers,German Marquez,2022-08-23 - Texas Rangers (6) @ Colorado Rockies (7) (Final),Justin Lawrence,R,6,Colorado Rockies,662876,Colorado Rockies,7,1,Daniel Bard,115,Texas Rangers,COL leads 1-0,Brock Burke,[]
,Martin Perez,N,,Bottom,Coors Field,2022-08-24T19:10:00Z,140,2022-08-24,19,9,Final,Texas Rangers,Jose Urena,2022-08-24 - Texas Rangers (16) @ Colorado Rockies (4) (Final),Martin Perez,R,16,Colorado Rockies,662877,Texas Rangers,4,1,,115,Colorado Rockies,Series tied 1-1,Jose Urena,[]
,Tyler Alexander,N,,Top,Globe Life Field,2022-08-27T00:05:00Z,116,2022-08-26,5325,9,Final,Detroit Tigers,Glenn Otto,2022-08-26 - Detroit Tigers (6) @ Texas Rangers (7) (Final),Glenn Otto,R,6,Texas Rangers,661786,Texas Rangers,7,1,Jose Leclerc,140,Detroit Tigers,TEX leads 1-0,Tyler Alexander,['MLB.tv Free Game']
,Eduardo Rodriguez,N,,Bottom,Globe Life Field,2022-08-27T23:05:00Z,116,2022-08-27,5325,9,Final,Detroit Tigers,Dallas Keuchel,2022-08-27 - Detroit Tigers (11) @ Texas Rangers (2) (Final),Eduardo Rodriguez,R,11,Texas Rangers,661785,Detroit Tigers,2,1,,140,Texas Rangers,Series tied 1-1,Dallas Keuchel,[]
,Drew Hutchison,N,,Bottom,Globe Life Field,2022-08-28T18:35:00Z,116,2022-08-28,5325,9,Final,Detroit Tigers,Kohei Arihara,2022-08-28 - Detroit Tigers (9) @ Texas Rangers (8) (Final),Drew Hutchison,R,9,Texas Rangers,661784,Detroit Tigers,8,1,Joe Jimenez,140,Texas Rangers,DET wins 2-1,Kohei Arihara,[]
,Framber Valdez,N,,Bottom,Globe Life Field,2022-08-31T00:05:00Z,117,2022-08-30,5325,9,Final,Houston Astros,Dane Dunning,2022-08-30 - Houston Astros (4) @ Texas Rangers (2) (Final),Framber Valdez,R,4,Texas Rangers,661832,Houston Astros,2,1,Hector Neris,140,Texas Rangers,HOU leads 1-0,Dane Dunning,[]
,Cristian Javier,N,,Bottom,Globe Life Field,2022-08-31T18:05:00Z,117,2022-08-31,5325,9,Final,Houston Astros,Martin Perez,2022-08-31 - Houston Astros (5) @ Texas Rangers (3) (Final),Cristian Javier,R,5,Texas Rangers,661831,Houston Astros,3,1,Rafael Montero,140,Texas Rangers,HOU wins 2-0,Martin Perez,['MLBN (out-of-market only)']
,Glenn Otto,N,,Bottom,Fenway Park,2022-09-01T23:10:00Z,140,2022-09-01,3,9,Final,Texas Rangers,Rich Hill,2022-09-01 - Texas Rangers (8) @ Boston Red Sox (9) (Final),Jeurys Familia,R,8,Boston Red Sox,663210,Boston Red Sox,9,1,,111,Texas Rangers,BOS leads 1-0,Jonathan Hernandez,['MLBN (out-of-market only)']
,Dallas Keuchel,N,,Top,Fenway Park,2022-09-02T23:10:00Z,140,2022-09-02,3,9,Final,Texas Rangers,Nick Pivetta,2022-09-02 - Texas Rangers (1) @ Boston Red Sox (9) (Final),Tyler Danish,R,1,Boston Red Sox,663212,Boston Red Sox,9,1,,111,Texas Rangers,BOS leads 2-0,Dallas Keuchel,['MLBN (out-of-market only)']
,Dennis Santana,N,,Top,Fenway Park,2022-09-03T20:10:00Z,140,2022-09-03,3,9,Final,Texas Rangers,Brayan Bello,2022-09-03 - Texas Rangers (3) @ Boston Red Sox (5) (Final),Brayan Bello,R,3,Boston Red Sox,663214,Boston Red Sox,5,1,John Schreiber,111,Texas Rangers,BOS wins 3-0,Dennis Santana,['MLBN (out-of-market only)']
,Cody Freeman,N,,Top,Fenway Park,2022-09-04T17:35:00Z,140,2022-09-04,3,9,Final,Texas Rangers,Jonathan Diaz,2022-09-04 - Texas Rangers (2) @ Boston Red Sox (5) (Final),Kaleb Ort,R,2,Boston Red Sox,663213,Boston Red Sox,5,1,John Schreiber,111,Texas Rangers,BOS wins 4-0,Dane Dunning,['MLBN (out-of-market only)']
,Martin Perez,N,,Top,Minute Maid Park,2022-09-05T23:10:00Z,140,2022-09-05,2392,9,Final,Texas Rangers,Hunter Brown,2022-09-05 - Texas Rangers (0) @ Houston Astros (1) (Final),Hunter Brown,R,0,Houston Astros,661088,Houston Astros,1,1,Rafael Montero,117,Texas Rangers,HOU leads 1-0,Martin Perez,['MLBN (out-of-market only)']
,Glenn Otto,N,,Bottom,Minute Maid Park,2022-09-07T00:10:00Z,140,2022-09-06,2392,9,Final,Texas Rangers,Framber Valdez,2022-09-06 - Texas Rangers (4) @ Houston Astros (3) (Final),Taylor Hearn,R,4,Houston Astros,661087,Texas Rangers,3,1,Jose Leclerc,117,Houston Astros,Series tied 1-1,Framber Valdez,[]
,Cole Ragans,N,,Bottom,Minute Maid Park,2022-09-08T00:10:00Z,140,2022-09-07,2392,10,Final,Texas Rangers,Cristian Javier,2022-09-07 - Texas Rangers (3) @ Houston Astros (4) (Final),Hector Neris,R,3,Houston Astros,661086,Houston Astros,4,1,,117,Texas Rangers,HOU wins 2-1,Jonathan Hernandez,[]
,Ross Stripling,N,,Bottom,Globe Life Field,2022-09-10T00:05:00Z,141,2022-09-09,5325,9,Final,Toronto Blue Jays,Dane Dunning,2022-09-09 - Toronto Blue Jays (4) @ Texas Rangers (3) (Final),Tim Mayza,R,4,Texas Rangers,661830,Toronto Blue Jays,3,1,Jordan Romano,140,Texas Rangers,TOR leads 1-0,Jose Leclerc,['MLBN (out-of-market only)']
,Kevin Gausman,N,,Bottom,Globe Life Field,2022-09-10T23:05:00Z,141,2022-09-10,5325,9,Final,Toronto Blue Jays,Kohei Arihara,2022-09-10 - Toronto Blue Jays (11) @ Texas Rangers (7) (Final),Kevin Gausman,R,11,Texas Rangers,661841,Toronto Blue Jays,7,1,Tim Mayza,140,Texas Rangers,TOR wins 2-0,Kohei Arihara,[]
,Trevor Richards,N,,Top,Globe Life Field,2022-09-11T18:35:00Z,141,2022-09-11,5325,9,Final,Toronto Blue Jays,Martin Perez,2022-09-11 - Toronto Blue Jays (1) @ Texas Rangers (4) (Final),Martin Perez,R,1,Texas Rangers,661839,Texas Rangers,4,1,Jose Leclerc,140,Toronto Blue Jays,TOR wins 2-1,Trevor Richards,[]
,Glenn Otto,S,,Bottom,loanDepot park,2022-09-12T17:10:00Z,140,2022-09-12,4169,9,Final,Texas Rangers,Trevor Rogers,2022-09-12 - Texas Rangers (3) @ Miami Marlins (2) (Final),Jonathan Hernandez,R,3,Miami Marlins,661420,Texas Rangers,2,1,Jose Leclerc,146,Miami Marlins,TEX leads 1-0,Steven Okert,[]
,Jon Gray,S,,Top,loanDepot park,2022-09-12T23:10:00Z,140,2022-09-12,4169,9,Final,Texas Rangers,Braxton Garrett,2022-09-12 - Texas Rangers (6) @ Miami Marlins (10) (Final),Bryan Hoeing,R,6,Miami Marlins,661419,Miami Marlins,10,2,,146,Texas Rangers,Series tied 1-1,A.J. Alexy,[]
,Ken Waldichuk,N,,Bottom,Globe Life Field,2022-09-14T00:05:00Z,133,2022-09-13,5325,9,Final,Oakland Athletics,Cole Ragans,2022-09-13 - Oakland Athletics (7) @ Texas Rangers (8) (Final),Brock Burke,R,7,Texas Rangers,661838,Texas Rangers,8,1,,140,Oakland Athletics,TEX leads 1-0,Joel Payamps,[]
,JP Sears,N,,Bottom,Globe Life Field,2022-09-15T00:05:00Z,133,2022-09-14,5325,9,Final,Oakland Athletics,Dane Dunning,2022-09-14 - Oakland Athletics (8) @ Texas Rangers (7) (Final),Tyler Cyr,R,8,Texas Rangers,661829,Oakland Athletics,7,1,Domingo Acevedo,140,Texas Rangers,Series tied 1-1,Jose Leclerc,[]
,Martin Perez,N,,Bottom,Tropicana Field,2022-09-16T23:10:00Z,140,2022-09-16,12,9,Final,Texas Rangers,Corey Kluber,2022-09-16 - Texas Rangers (4) @ Tampa Bay Rays (3) (Final),Martin Perez,R,4,Tampa Bay Rays,662064,Texas Rangers,3,1,Jose Leclerc,139,Tampa Bay Rays,TEX leads 1-0,Corey Kluber,[]
,Jon Gray,N,,Top,Tropicana Field,2022-09-17T22:10:00Z,140,2022-09-17,12,9,Final,Texas Rangers,Shawn Armstrong,2022-09-17 - Texas Rangers (1) @ Tampa Bay Rays (5) (Final),Ryan Yarbrough,R,1,Tampa Bay Rays,662015,Tampa Bay Rays,5,1,,139,Texas Rangers,Series tied 1-1,Jon Gray,[]
,Glenn Otto,N,,Top,Tropicana Field,2022-09-18T17:10:00Z,140,2022-09-18,12,9,Final,Texas Rangers,Jeffrey Springs,2022-09-18 - Texas Rangers (3) @ Tampa Bay Rays (5) (Final),Jeffrey Springs,R,3,Tampa Bay Rays,661994,Tampa Bay Rays,5,1,Pete Fairbanks,139,Texas Rangers,TB wins 2-1,Glenn Otto,[]
